ts,value
1614917423506,24
1614917424506,24
1614917425506,24
1614917426506,24
1614917427506,24
1614917428506,24
1614917429506,24
1614917430505,24
1614917431506,24
1614917432506,24
1614917433506,24
1614917434506,24
1614917435506,24
1614917436506,24
1614917437506,24
1614917438505,24
1614917439506,24
1614917440506,24
1614917441506,24
1614917442505,24
1614917443506,24
1614917444506,24
1614917445506,24
1614917446507,24
1614917447506,24
1614917448506,24
1614917449506,24
1614917450506,24
1614917451505,24
1614917452506,24
1614917453506,24
1614917454506,24
1614917455505,24
1614917456506,24
1614917457506,24
1614917458506,24
1614917459505,24
1614917460506,24
1614917461506,24
1614917462506,24
1614917463506,24
1614917464506,24
1614917465506,24
1614917466505,24
1614917467506,24
1614917468506,24
1614917469506,24
1614917470506,24
1614917471506,24
1614917472506,24
1614917473506,24
1614917474506,24
1614917475506,24
1614917476505,24
1614917477506,24
1614917478506,24
1614917479506,24
1614917480505,24
1614917481506,24
1614917482505,24
1614917483506,24
1614917484506,24
1614917485506,24
1614917486506,24
1614917487506,24
1614917488506,24
1614917489506,24
1614917490506,24
1614917491506,24
1614917492506,24
1614917493505,24
1614917494505,24
1614917495506,24
1614917496506,24
1614917497506,24
1614917498505,24
1614917499505,24
1614917500506,24
1614917501506,24
1614917502506,24
1614917503505,24
1614917504506,24
1614917505505,24
1614917506506,24
1614917507505,24
1614917508506,24
1614917509506,24
1614917510506,24
1614917511506,24
1614917512506,24
1614917513506,24
1614917514506,24
1614917515505,24
1614917516506,24
1614917517506,24
1614917518506,24
1614917519506,24
1614917520506,24
1614917521506,24
1614917522506,24
1614917523506,24
1614917524506,24
1614917525506,24
1614917526506,24
1614917527506,24
1614917528506,24
1614917529506,24
1614917530506,24
1614917531506,24
1614917532506,24
1614917533506,24
1614917534506,24
1614917535506,24
1614917536506,24
1614917537505,24
1614917538506,24
1614917539506,24
1614917540506,24
1614917541506,24
1614917542506,24
1614917543506,24
1614917544506,24
1614917545505,24
1614917546506,24
1614917547506,24
1614917548506,24
1614917549507,24
1614917550505,24
1614917551505,24
1614917552506,24
1614917553506,24
1614917554505,24
1614917555506,24
1614917556506,24
1614917557506,24
1614917558505,24
1614917559506,24
1614917560505,24
1614917561506,24
1614917562506,24
1614917563506,24
1614917564506,24
1614917565506,24
1614917566505,24
1614917567506,24
1614917568506,24
1614917569506,24
1614917570505,24
1614917571506,24
1614917572506,24
1614917573506,24
1614917574506,24
1614917575506,24
1614917576506,24
1614917577506,24
1614917578506,24
1614917579506,24
1614917580506,24
1614917581505,24
1614917582505,24
1614917583506,24
1614917584505,24
1614917585506,24
1614917586506,24
1614917587506,24
1614917588506,24
1614917589506,24
1614917590506,24
1614917591506,24
1614917592506,24
1614917593506,24
1614917594506,24
1614917595506,24
1614917596506,24
1614917597505,24
1614917598506,24
1614917599506,24
1614917600506,24
1614917601506,24
1614917602506,24
1614917603506,24
1614917604506,24
1614917605506,24
1614917606506,24
1614917607506,24
1614917608506,24
1614917609506,24
1614917610506,24
1614917611505,24
1614917612506,24
1614917613506,24
1614917614506,24
1614917615505,24
1614917616506,24
1614917617506,24
1614917618506,24
1614917619506,24
1614917620506,24
1614917621505,24
1614917622506,24
1614917623506,24
1614917624506,24
1614917625506,24
1614917626507,24
1614917627505,24
1614917628506,24
1614917629506,24
1614917630506,24
1614917631505,24
